"variable","feature","lag","cor_log_incidence","cor_cases","cor_outbreak","cor_large_outbreak","selection_score","selected"
"rainfall","rainfall_lag7",7,0.0616744231691599,0.0588939446522296,0.0497547167100283,0.0377599610869688,0.0565218535111455,TRUE
"rainfall","rainfall_lag6",6,0.0614389255530263,0.0586178719792093,0.0503694673886789,0.0372719912020347,0.0563744446424391,TRUE
"rainfall","rainfall_lag5",5,0.0567620171417609,0.0574949085018058,0.0513454275563703,0.0374727980947484,0.0542771187752668,FALSE
"rainfall","rainfall_lag4",4,0.0581550615781173,0.0548777198170719,0.0527289352962917,0.0344668575404756,0.0538252526157134,FALSE
"rainfall","rainfall_lag20",20,0.0600894306215357,0.0550876262846255,0.042239317026949,0.0413494664687346,0.053787285649149,FALSE
"rainfall","rainfall_lag8",8,0.0550636272815843,0.0500522471098656,0.0493160173979761,0.0317696183450184,0.050118101845285,FALSE
"rainfall","rainfall_lag9",9,0.0519580536233283,0.0496125174080608,0.0443726272974799,0.0388770776441291,0.0486912044011875,FALSE
"rainfall","rainfall_lag19",19,0.0485959674592294,0.0463573938956911,0.0384898919899477,0.0310916016487062,0.0445461188105464,FALSE
"rainfall","rainfall_lag3",3,0.0462419377236419,0.0400937155599776,0.0402453822577939,0.0256407795342893,0.0411304608275469,FALSE
"rainfall","rainfall_lag18",18,0.0437398165395811,0.0385778356366796,0.0295973244133111,0.0257983526656617,0.0380176030172331,FALSE
"rainfall","rainfall_lag10",10,0.0352434777426078,0.0367210365411055,0.0335124296859799,0.0261022346183732,0.0345868418011644,FALSE
"rainfall","rainfall_lag17",17,0.0387224078686734,0.0287812062181078,0.0230911083286356,0.0147614374168628,0.0305021953147887,FALSE
"rainfall","rainfall_lag2",2,0.0307578069272806,0.0248254212602361,0.0235627274940149,0.0152364129013419,0.0260500706262313,FALSE
"rainfall","rainfall_lag16",16,0.0234301906784736,0.0255073558958943,0.0192450816612956,0.0200632908181586,0.0231927421659626,FALSE
"rainfall","rainfall_lag11",11,0.0222989852694776,0.0238758587751267,0.0257120055454396,0.0180662524396486,0.0229395707548662,FALSE
"rainfall","rainfall_lag15",15,0.0207602950380155,0.0194287222258777,0.0158636192080727,0.0125794068673649,0.0187416543622108,FALSE
"rainfall","rainfall_lag1",1,0.0118849669009488,0.00928393879199247,0.00915142978760461,0.00901582222027556,0.0102776620277451,FALSE
"rainfall","rainfall_lag12",12,0.00469814448991229,0.0131707174093384,0.0132886344985141,0.0135613299060415,0.00983843705461463,FALSE
"rainfall","rainfall_lag14",14,0.00779926574887873,0.00375652100121477,0.000652572276537273,0.00196758549801433,0.00472913304125869,FALSE
"rainfall","rainfall_lag13",13,0.000126258382683646,0.00256073542031611,0.00207229128290482,0.00219085071051246,0.00147668951367107,FALSE
"rh","rh_lag20",20,0.152153335543078,0.149018938957608,0.128215100893051,0.107803524193806,0.143030580405732,TRUE
"rh","rh_lag19",19,0.14064301159592,0.138188088792999,0.119869442360826,0.0969897413882583,0.132302426208867,TRUE
"rh","rh_lag18",18,0.129105612484525,0.125287725056881,0.107775149253129,0.0848205494084469,0.120141276092532,FALSE
"rh","rh_lag17",17,0.117360140417398,0.111575354729042,0.0936295075124658,0.073605780498619,0.107400434498856,FALSE
"rh","rh_lag16",16,0.0989525847320589,0.0998269571204804,0.0837195897357182,0.0669953136290782,0.0937779387082572,FALSE
"rh","rh_lag15",15,0.0797879435331387,0.0771079385221289,0.062990360402085,0.0513315926989194,0.0734846692262053,FALSE
"rh","rh_lag4",4,0.0679387525082572,0.0592606302105536,0.0620918950714266,0.0374512414492524,0.0609756299826359,FALSE
"rh","rh_lag6",6,0.0687973704113836,0.0594905535538943,0.0579047452345648,0.0351617609697557,0.0605425297905768,FALSE
"rh","rh_lag5",5,0.0672999426697706,0.0598148381085969,0.0606262396112317,0.0350360966105865,0.0604527160086606,FALSE
"rh","rh_lag7",7,0.0625686970811992,0.0543082911715649,0.0542539152506827,0.0276426029102453,0.0549377283211544,FALSE
"rh","rh_lag14",14,0.0559361753458578,0.0540980778619797,0.0391925419092561,0.0349195439872382,0.0506796330751483,FALSE
"rh","rh_lag3",3,0.0593813604629087,0.0468513682847437,0.0496356098687782,0.0252929793226859,0.0501251624974091,FALSE
"rh","rh_lag8",8,0.0547013918010901,0.045237184910799,0.0474778064328259,0.0229792039160756,0.0471331627957471,FALSE
"rh","rh_lag9",9,0.048300379004996,0.0409980361158794,0.04321827392928,0.0240792658844834,0.0425601319203965,FALSE
"rh","rh_lag2",2,0.0430963051681074,0.0332448912058847,0.0366994740687462,0.0200483865376072,0.0363839937533753,FALSE
"rh","rh_lag13",13,0.0335986002105193,0.0327563209794939,0.0256502368929868,0.0201832136483613,0.0307700093258148,FALSE
"rh","rh_lag1",1,0.0370768668573768,0.0255697912112335,0.0287767085720887,0.0139566308193361,0.0294923430346294,FALSE
"rh","rh_lag10",10,0.0207545853375457,0.0230928254637554,0.0224605022246057,0.0138365646982984,0.0211370548508534,FALSE
"rh","rh_lag12",12,0.0133979156789686,0.00946744278533117,0.00629813582716563,0.000508112128962625,0.00966830283342444,FALSE
"rh","rh_lag11",11,0.00773255355476344,0.00580726949986733,0.0110802941259613,0.00459705969763202,0.00724731583551634,FALSE
"temp_c","temp_c_lag15",15,0.193012931001542,0.164607476262213,0.149447748639371,0.10085293534963,0.16732024492326,TRUE
"temp_c","temp_c_lag14",14,0.189750949342779,0.159735587250757,0.145648297469185,0.097848678985811,0.163439947793836,TRUE
"temp_c","temp_c_lag16",16,0.187203018739169,0.16104896162624,0.146419515342458,0.100623965489798,0.1632736679152,FALSE
"temp_c","temp_c_lag17",17,0.185229211150439,0.156238085928675,0.143374039478617,0.096457968781897,0.159926917335194,FALSE
"temp_c","temp_c_lag13",13,0.184315703465515,0.154406997096437,0.143526752418943,0.0915377463801772,0.158451517870818,FALSE
"temp_c","temp_c_lag18",18,0.175932665391649,0.146415433868255,0.132830583609808,0.0933914466192714,0.150882200213947,FALSE
"temp_c","temp_c_lag12",12,0.175635376709505,0.14366419952441,0.134187539946183,0.0813814516613098,0.148802896675404,FALSE
"temp_c","temp_c_lag19",19,0.165424409034642,0.137868440346202,0.127792305243608,0.0903629799356019,0.142628861515129,FALSE
"temp_c","temp_c_lag11",11,0.165488703481164,0.134460428510082,0.124712680700054,0.0779596209418498,0.139759495570187,FALSE
"temp_c","temp_c_lag20",20,0.152917431706788,0.128114703850133,0.117786802135436,0.0863156701237075,0.132306706362948,FALSE
"temp_c","temp_c_lag10",10,0.148160221858708,0.1175766145952,0.112468695938665,0.0667543087053835,0.123961639113141,FALSE
"temp_c","temp_c_lag9",9,0.129017474149418,0.101275134266231,0.0954118097722255,0.0555875812552678,0.106923816244309,FALSE
"temp_c","temp_c_lag8",8,0.113703613747903,0.0881412032769872,0.0824695579668328,0.0512196924653151,0.093823269587663,FALSE
"temp_c","temp_c_lag7",7,0.100598213092781,0.074008576410803,0.0702775162227845,0.0434104455309716,0.0810249589674082,FALSE
"temp_c","temp_c_lag6",6,0.0834883779764853,0.0593458058090885,0.0536824772203687,0.0348895061217522,0.0657077054190056,FALSE
"temp_c","temp_c_lag5",5,0.0714813118285946,0.0472016176159788,0.0393007706404283,0.0288925201540404,0.0538974585084987,FALSE
"temp_c","temp_c_lag4",4,0.0580800686422267,0.0371076032708038,0.0284569659337855,0.0214388122121691,0.0426321147129568,FALSE
"temp_c","temp_c_lag3",3,0.0503916499752044,0.0320116657675112,0.0227133110451101,0.0195652991105876,0.0367242695765359,FALSE
"temp_c","temp_c_lag2",2,0.042127395867151,0.0275996691467672,0.0154067823692852,0.0179941139358059,0.0306212712972023,FALSE
"temp_c","temp_c_lag1",1,0.0383717143297126,0.0237685592833603,0.011944675202838,0.0151312510924825,0.0269725078707351,FALSE
"u_component_of_wind_10m","u_component_of_wind_10m_lag6",6,0.151329318735513,0.141160516380092,0.13354089849238,0.094979718854299,0.139467014886525,TRUE
"u_component_of_wind_10m","u_component_of_wind_10m_lag5",5,0.147168301679533,0.139727403211448,0.13035085204189,0.0915622319980676,0.13648076280191,TRUE
"u_component_of_wind_10m","u_component_of_wind_10m_lag4",4,0.144494785870628,0.140992929329697,0.13071479202631,0.0934201589318778,0.136094674310779,FALSE
"u_component_of_wind_10m","u_component_of_wind_10m_lag7",7,0.148161506366182,0.136126118118587,0.126396651369009,0.0933620750255859,0.135204449095888,FALSE
"u_component_of_wind_10m","u_component_of_wind_10m_lag3",3,0.141857642443043,0.139101073608894,0.126190966832705,0.0948631058109372,0.13384338834633,FALSE
"u_component_of_wind_10m","u_component_of_wind_10m_lag8",8,0.146271496309235,0.132626286863918,0.124861894291935,0.0914577827379844,0.132802861343654,FALSE
"u_component_of_wind_10m","u_component_of_wind_10m_lag9",9,0.138394453901643,0.12782544544882,0.120278224745591,0.0885308541867004,0.126991506598253,FALSE
"u_component_of_wind_10m","u_component_of_wind_10m_lag2",2,0.133906674397933,0.129515168075544,0.116753160145896,0.0884277719803906,0.125248729805537,FALSE
"u_component_of_wind_10m","u_component_of_wind_10m_lag10",10,0.131286057904279,0.119127036528765,0.113741481179148,0.0792160584898723,0.119191713972639,FALSE
"u_component_of_wind_10m","u_component_of_wind_10m_lag11",11,0.120425020795334,0.112162924463793,0.11019275501662,0.074820627097143,0.111438007842669,FALSE
"u_component_of_wind_10m","u_component_of_wind_10m_lag1",1,0.117356770945369,0.114991380974327,0.101665437270876,0.0809053305743078,0.110530040367224,FALSE
"u_component_of_wind_10m","u_component_of_wind_10m_lag12",12,0.11279487307111,0.100109416209038,0.100064883514958,0.0630300839624119,0.101468985825092,FALSE
"u_component_of_wind_10m","u_component_of_wind_10m_lag13",13,0.103229961033479,0.0893130435791496,0.0915131562390394,0.054617922668827,0.0917403153688325,FALSE
"u_component_of_wind_10m","u_component_of_wind_10m_lag14",14,0.0929538971624957,0.0777273850614476,0.0803911683335351,0.0481250110328096,0.0812573199898162,FALSE
"u_component_of_wind_10m","u_component_of_wind_10m_lag15",15,0.0794716811708212,0.0636179705794143,0.0661053746400679,0.0418740986939205,0.0681581782365257,FALSE
"u_component_of_wind_10m","u_component_of_wind_10m_lag16",16,0.0716486083748338,0.0583512291731015,0.0648866307349538,0.0354442420885199,0.0623597923796141,FALSE
"u_component_of_wind_10m","u_component_of_wind_10m_lag17",17,0.0568309850663512,0.0431074205011472,0.0520817042461298,0.0248895155310249,0.048121198391964,FALSE
"u_component_of_wind_10m","u_component_of_wind_10m_lag18",18,0.0395921190817847,0.0288836125582752,0.0372121492888805,0.0151015691060277,0.033038091332045,FALSE
"u_component_of_wind_10m","u_component_of_wind_10m_lag19",19,0.0234832615902149,0.0145140343755858,0.0236474000955518,0.00522451831906494,0.0185427785137802,FALSE
"u_component_of_wind_10m","u_component_of_wind_10m_lag20",20,0.0110682198917576,0.0015726768584854,0.013722112772155,0.00451984840073437,0.00748802661306961,FALSE
"v_component_of_wind_10m","v_component_of_wind_10m_lag9",9,0.152952321548785,0.138466992133767,0.128637329224112,0.0916830312255117,0.1381082783725,TRUE
"v_component_of_wind_10m","v_component_of_wind_10m_lag8",8,0.151650842393194,0.135943784998787,0.127007259542404,0.0912309290710623,0.13641484354532,TRUE
"v_component_of_wind_10m","v_component_of_wind_10m_lag10",10,0.15127212901706,0.133824883493807,0.126975249312491,0.087404373693966,0.135134285595927,FALSE
"v_component_of_wind_10m","v_component_of_wind_10m_lag11",11,0.149336255163151,0.133969369827477,0.127388163911655,0.0877779990790104,0.134509805999527,FALSE
"v_component_of_wind_10m","v_component_of_wind_10m_lag7",7,0.14770516907309,0.133732257197544,0.12342519964691,0.0879885540469473,0.133200993000107,FALSE
"v_component_of_wind_10m","v_component_of_wind_10m_lag6",6,0.145068977522696,0.131417699007019,0.1201818645259,0.087496485781989,0.130800713918619,FALSE
"v_component_of_wind_10m","v_component_of_wind_10m_lag12",12,0.144794176964169,0.125323676030781,0.118571356781028,0.0797844583938254,0.127545106752978,FALSE
"v_component_of_wind_10m","v_component_of_wind_10m_lag5",5,0.139775784819554,0.128110004288924,0.115037606875943,0.0857497008356315,0.1265794265439,FALSE
"v_component_of_wind_10m","v_component_of_wind_10m_lag4",4,0.131504101874057,0.123078747962812,0.109842093682162,0.0807244307167765,0.120227959660609,FALSE
"v_component_of_wind_10m","v_component_of_wind_10m_lag13",13,0.134942208087217,0.117007635718429,0.114258908351934,0.0727427193341999,0.119342663922547,FALSE
"v_component_of_wind_10m","v_component_of_wind_10m_lag3",3,0.120075091955244,0.11519801619323,0.10052437445702,0.0807354848320472,0.111501547101486,FALSE
"v_component_of_wind_10m","v_component_of_wind_10m_lag14",14,0.125520389965242,0.107238123515797,0.104545884203682,0.0691173672024627,0.110335118567424,FALSE
"v_component_of_wind_10m","v_component_of_wind_10m_lag15",15,0.116678806642141,0.0970052712420038,0.0938163105409077,0.0636378790841915,0.101059602081113,FALSE
"v_component_of_wind_10m","v_component_of_wind_10m_lag2",2,0.106068948075317,0.10273465837628,0.0885722219209632,0.0722867614688338,0.0988992190968528,FALSE
"v_component_of_wind_10m","v_component_of_wind_10m_lag16",16,0.107393354032178,0.0902666621724264,0.0899630792403246,0.0578785186634484,0.0938329871256141,FALSE
"v_component_of_wind_10m","v_component_of_wind_10m_lag1",1,0.0930337933779838,0.0890498883844973,0.0741049507028064,0.063385167646751,0.0858352376558636,FALSE
"v_component_of_wind_10m","v_component_of_wind_10m_lag17",17,0.0960080250065379,0.077079449830157,0.0801659507655077,0.0476230463178905,0.0821682146897853,FALSE
"v_component_of_wind_10m","v_component_of_wind_10m_lag18",18,0.0794123442056826,0.0626641163702484,0.0651772552099451,0.03789785609964,0.0672637523033158,FALSE
"v_component_of_wind_10m","v_component_of_wind_10m_lag19",19,0.066235845703012,0.0487119067336866,0.0527624113851787,0.0284394944957382,0.0543018167953457,FALSE
"v_component_of_wind_10m","v_component_of_wind_10m_lag20",20,0.0496324335029505,0.0344446292703491,0.0400502151417822,0.0190786961275942,0.0398239955298291,FALSE
"wind_speed_10m","wind_speed_10m_lag13",13,0.0693575147836763,0.078017350596844,0.0716211959361712,0.0567717415434481,0.0714694321671364,TRUE
"wind_speed_10m","wind_speed_10m_lag14",14,0.066147846472321,0.0780428790783823,0.0757226103159969,0.0546321093425844,0.0705957487480202,TRUE
"wind_speed_10m","wind_speed_10m_lag12",12,0.0674200412367212,0.0773504314954598,0.0679193534194061,0.0573226586108026,0.0699608363920906,FALSE
"wind_speed_10m","wind_speed_10m_lag11",11,0.0686440980990745,0.0734535466957827,0.0656973577201858,0.0503479773561331,0.0680557819767949,FALSE
"wind_speed_10m","wind_speed_10m_lag15",15,0.0625719787130907,0.0758860211993002,0.0746202289919956,0.0490550196283445,0.0676874352166251,FALSE
"wind_speed_10m","wind_speed_10m_lag10",10,0.0626470946756153,0.0731069809300023,0.0612857609369595,0.0507962722833441,0.0649187725646252,FALSE
"wind_speed_10m","wind_speed_10m_lag9",9,0.0645469023645894,0.0686590753193356,0.060998187129906,0.0386906545591027,0.0628682308329994,FALSE
"wind_speed_10m","wind_speed_10m_lag8",8,0.0613139124994243,0.066314686891585,0.0581634494524518,0.0393989149032555,0.0604001143200178,FALSE
"wind_speed_10m","wind_speed_10m_lag16",16,0.0541643776002344,0.0623736822988308,0.06167713008969,0.0410817948392945,0.0568562888420675,FALSE
"wind_speed_10m","wind_speed_10m_lag7",7,0.0487676056882815,0.0588667005488606,0.0488678763823314,0.039086462732897,0.0513492151980532,FALSE
"wind_speed_10m","wind_speed_10m_lag17",17,0.0465712206200554,0.0543650421502736,0.0532246282615649,0.0354226887720029,0.049182216117053,FALSE
"wind_speed_10m","wind_speed_10m_lag18",18,0.0433484453015496,0.05085951080999,0.0490827865554952,0.0350077482131538,0.046003399708756,FALSE
"wind_speed_10m","wind_speed_10m_lag6",6,0.0401457757222339,0.0465438374294597,0.0397430229768865,0.0298469560659019,0.0412948024423276,FALSE
"wind_speed_10m","wind_speed_10m_lag19",19,0.0338692394609527,0.0435763630546657,0.0458605746725742,0.0301787577299611,0.0386963848273963,FALSE
"wind_speed_10m","wind_speed_10m_lag5",5,0.0299884439026585,0.0390690272279367,0.0319363652550256,0.0283932086024107,0.0332993127393361,FALSE
"wind_speed_10m","wind_speed_10m_lag20",20,0.0189398205940916,0.0310724881359263,0.0328776639457607,0.0209105681007326,0.0254740054871482,FALSE
"wind_speed_10m","wind_speed_10m_lag1",1,0.0305825970473729,0.0155713462873327,0.0161927941457965,0.0143933068553387,0.0215512598269189,FALSE
"wind_speed_10m","wind_speed_10m_lag4",4,0.0165757356913074,0.0237217950147589,0.0163534886790555,0.0190727044367124,0.0192932162772181,FALSE
"wind_speed_10m","wind_speed_10m_lag2",2,0.0224585712965474,0.00799717364391006,0.0101008160816364,0.00690628192599831,0.0139881898988328,FALSE
"wind_speed_10m","wind_speed_10m_lag3",3,0.00365972917003103,0.00490438962644771,0.00405316152826071,0.000286759408743874,0.0038170782073826,FALSE
"neighbor_env_rainfall_mean","neighbor_env_rainfall_mean_lag7",7,0.0617098482205936,0.0586046058982211,0.0497341594654173,0.0374573723368468,0.0564014125061121,TRUE
"neighbor_env_rainfall_mean","neighbor_env_rainfall_mean_lag6",6,0.0616517292760033,0.058356374261136,0.0503915031620485,0.036961543017217,0.0563403024778279,TRUE
"neighbor_env_rainfall_mean","neighbor_env_rainfall_mean_lag5",5,0.0569354430139766,0.0570834566314868,0.0513464344135256,0.0369504722107389,0.0541503994097138,FALSE
"neighbor_env_rainfall_mean","neighbor_env_rainfall_mean_lag20",20,0.0604273469197738,0.0554111755039427,0.0425865443138884,0.041697761912033,0.054122608032576,FALSE
"neighbor_env_rainfall_mean","neighbor_env_rainfall_mean_lag4",4,0.0583343897278514,0.0547199568051848,0.0526492515970339,0.0344727787012616,0.0538304063826365,FALSE
"neighbor_env_rainfall_mean","neighbor_env_rainfall_mean_lag8",8,0.0552904202415445,0.0498534855009335,0.049471762365632,0.0316039705769319,0.0501460494344825,FALSE
"neighbor_env_rainfall_mean","neighbor_env_rainfall_mean_lag9",9,0.0525394329010442,0.0496831413884999,0.0445742245132368,0.0388463631224772,0.0489756426356259,FALSE
"neighbor_env_rainfall_mean","neighbor_env_rainfall_mean_lag19",19,0.0485017275731509,0.0465431052872546,0.0386406285477908,0.0313079841016768,0.0446176705721358,FALSE
"neighbor_env_rainfall_mean","neighbor_env_rainfall_mean_lag3",3,0.0463177197749283,0.0397894054697407,0.039972957924555,0.0253566725421011,0.0409849907672739,FALSE
"neighbor_env_rainfall_mean","neighbor_env_rainfall_mean_lag18",18,0.043734014873927,0.0389120069729564,0.0298495405489112,0.026071908971529,0.0381974303695951,FALSE
"neighbor_env_rainfall_mean","neighbor_env_rainfall_mean_lag10",10,0.03533252944155,0.0365350163093888,0.0333207843327002,0.0257452272770799,0.0344929078625191,FALSE
"neighbor_env_rainfall_mean","neighbor_env_rainfall_mean_lag17",17,0.0388439410517877,0.029102334202504,0.0232585370024467,0.0150206312407832,0.0307142370660368,FALSE
"neighbor_env_rainfall_mean","neighbor_env_rainfall_mean_lag2",2,0.0309025206907526,0.0244506272174302,0.0233167760919826,0.0145119774959695,0.025867441965796,FALSE
"neighbor_env_rainfall_mean","neighbor_env_rainfall_mean_lag16",16,0.0236748500079872,0.0258728321346522,0.019470291972062,0.0203196904372612,0.0234779440898586,FALSE
